State,Seats up for election,Election dates,Election method
Alabama,2,3-Nov-26,Partisan
Alaska,1,3-Nov-26,Retention
Arizona,1,3-Nov-26,Retention
Arkansas,2,3-Mar-26,Nonpartisan
California,2,3-Nov-26,Retention
Colorado,1,3-Nov-26,Retention
Florida,1,3-Nov-26,Retention
Georgia,3,19-May-26,Nonpartisan
Idaho,2,19-May-26,Nonpartisan
Kansas,2,3-Nov-26,Retention
Kentucky,1,3-Nov-26,Nonpartisan
Louisiana,3,3-Nov-26,Partisan
Maryland,1,3-Nov-26,Retention
Michigan,2,3-Nov-26,Partisan
Minnesota,3,3-Nov-26,Nonpartisan
Missouri,1,3-Nov-26,Retention
Montana,1,3-Nov-26,Nonpartisan
Nevada,2,3-Nov-26,Nonpartisan
New Mexico,2,3-Nov-26,Retention
North Carolina,1,3-Nov-26,Partisan
North Dakota,2,3-Nov-26,Nonpartisan
Ohio,2,3-Nov-26,Partisan
Oklahoma,6,3-Nov-26,Retention
Oregon,1,3-Nov-26,Nonpartisan
South Dakota,1,3-Nov-26,Retention
"Source: https://ballotpedia.org/State_supreme_court_elections,_2026",,,
